ле0000008665               022830102    2800228301020000050005,2002022  0
ле0000008665                            5202888221170000010005,9002022  0
ле0000008665                            5202888223129000010003,2802022  0
ле0000008665                            5019781010202000010015,2902022  0
ле0000008665                            5019781021123000010023,9002022  0
ле0000008665                            5213000521535000010001,3202022  0
ле0000008665                            3337872412301000010012,5602022  0
ле0000008665                            5205122002832000010006,5502022  0
ле0000008665                            5205122002023000010005,7002022  0
ле0000008665                            0033984033160000010013,1102022  0
