ле0000009186                            5201279049652000010008,2002023  0
ле0000009186                            5201279049621000010008,2002023  0
ле0000009186                            5205152000303000010006,8002023  0
ле0000009186                            5205152003397000010004,3002023  0
ле0000009186                            033984010567 000010016,7002023  0
ле0000009186                            033984007536 000010022,0702023  0
ле0000009186                            5060406350197000010015,4802023  0
