ле0000000629               231210202    2802312102025000010004,6302022  0
ле0000000629               294520103    2802945201034000010162,7202022  0
ле0000000629               020950101    2800209501012000040003,4102022  0
ле0000000629               248820101    2802488201010000010004,4002022  0
ле0000000629               244980102    2802449801020000010003,7802022  0
ле0000000629               199920201    2801999202011000020002,0902022  0
ле0000000629               185270101    2801852701019000040001,4202022  0
ле0000000629               185270201    2801852702016000010001,4002022  0
ле0000000629               199920101    2801999201014000020002,4302022  0
ле0000000629               189170302    2801891703029000010001,3302022  0
ле0000000629               015820102    2800158201025000010001,1002022  0
ле0000000629               004260402    2800042604024000010001,2802022  0
ле0000000629               301620102    2803016201021000010005,2502022  0
ле0000000629                            2809053501018000010006,5302022  0
ле0000000629                            2809180101013000010006,1402022  0
ле0000000629                            2809188001018000010010,8902022  0
ле0000000629               044100104    2800441001042000020002,7102022  0
ле0000000629               298150501    2802981505011000010373,5902022  0
ле0000000629                            2809026801015000010011,2002022  0
ле0000000629               274630101    2802746301018000010028,3302022  0
ле0000000629               265000102    2802650001028000010010,9502022  0
ле0000000629               231210202    2802312102025000050004,5602022  0
ле0000000629               276380203    2802763802031000020008,0302022  0
ле0000000629               306180103    2803061801030000010036,9502022  0
ле0000000629               186430301    2801864303010000090001,8002022  0
ле0000000629               186430101    2801864301016000130001,3102022  0
ле0000000629               149830201    2801498302014000160003,1702022  0
ле0000000629               196080304    2801960803049000010149,8702022  0
ле0000000629               081900302    2800819003029000010002,0902022  0
ле0000000629               109820302    2801098203025000050007,9302022  0
ле0000000629               225350104    2802253501048000030003,1502022  0
ле0000000629               203730101    2802037301017000010003,2702022  0
ле0000000629               098730101    2800987301019000120001,2202022  0
ле0000000629               286490101    2802864901015000010008,4002022  0
ле0000000629               109820101    2801098201014000020003,7902022  0
ле0000000629               306190103    2803061901037000020036,9502022  0
ле0000000629               203140601    2802031406015000080003,7102022  0
ле0000000629               231210102    2802312101028000020004,6902022  0
ле0000000629               017940602    2800179406027000010007,3802022  0
ле0000000629               246560802    2802465608023000010004,3002022  0
ле0000000629               293760203    2802937602030000020013,2802022  0
ле0000000629               059980601    2800599806018000010003,7502022  0
ле0000000629               300840301    2803008403013000020023,2102022  0
ле0000000629               309740201    2803097402010000030039,8902022  0
ле0000000629               063620101    2800636201011000010003,7902022  0
ле0000000629               298920103    2802989201038000010053,7102022  0
ле0000000629               298920204    2802989202042000020053,8102022  0
ле0000000629               236030906    2802360309063000010040,6702022  0
ле0000000629               274630103    2802746301032000010028,3302022  0
ле0000000629               136920101    2801369201019000020001,4702022  0
ле0000000629               308260205    2803082602050000010035,1802022  0
ле0000000629               245630503    2802456305030000010011,6702022  0
ле0000000629               248780114    2802487801143000010002,4702022  0
ле0000000629               306380303    2803063803032000010026,5302022  0
ле0000000629               186430201    2801864302013000020000,8702022  0
ле0000000629               311410102    2803114101025000020110,4102022  0
ле0000000629               191300102    2801913001027000010001,4302022  0
ле0000000629               227100101    2802271001018000010003,1802022  0
ле0000000629               234990104    2802349901042000010002,8502022  0
ле0000000629               246960201    2802469602010000010004,6602022  0
ле0000000629               240190101    2802401901010000010003,2602022  0
ле0000000629               197590201    2801975902010000020003,2602022  0
ле0000000629               246561002    2802465610026000020023,4302022  0
ле0000000629               246561202    2802465612020000010016,3302022  0
ле0000000629               247100102    2802471001023000010054,4202022  0
ле0000000629               121840101    2801218401010000020002,0902022  0
ле0000000629               095290101    2800952901015000010000,7202022  0
ле0000000629               030440101    2800304401019000020001,8402022  0
ле0000000629               179110406    2801791104063000020003,6202022  0
ле0000000629               221560101    2802215601014000010003,6502022  0
ле0000000629               285690302    2802856903027000010048,9502022  0
ле0000000629               033250501    2800332505017000010001,6002022  0
ле0000000629               210760101    2802107601016000010002,5402022  0
ле0000000629               125890101    2801258901013000020001,3702022  0
