ле0000010121                            3282770148763000010009,3502024  0
ле0000010121                            5038483444702000010002,1302024  0
ле0000010121                            8024790231040000010010,6002024  0
ле0000010121                            3337875613668000010019,2802024  0
ле0000010121                            5205122002917000010004,3502024  0
ле0000010121                            5200312242760000010009,8502024  0
ле0000010121                            033984529076 000010017,0002024  0
