ле0000009259                            5205152000037000010004,2002023  0
ле0000009259                            5201279036232000010009,2002023  0
ле0000009259                            5201279049560000010008,2002023  0
ле0000009259                            5201314168195000010018,1202023  0
ле0000009259                            8718951473003000010004,8302023  0
ле0000009259                            3577056019623000010004,7502023  0
ле0000009259                            5206469006989000010008,3602023  0
ле0000009259                            5205965122025000010009,5302023  0
ле0000009259                            033984010390 000010024,7602023  0
ле0000009259                            033984003972 000010014,6102023  0
ле0000009259                            033984032293 000010016,4002023  0
ле0000009259                            3282770208702000010008,4202023  0
