ле0000008897                            1306201815146000010013,0002023  0
ле0000008897                            3337875766326000010008,4702023  0
ле0000008897                            033984010390 000010024,7602023  0
ле0000008897                            5201279008116000010002,2002023  0
ле0000008897                            3564300031845000010004,0602023  0
ле0000008897                            3337872414084000010010,5202023  0
ле0000008897                            8001841906829000010009,5602023  0
