ле0000009361                            5204799030162000010011,0502023  0
ле0000009361                            8470003854504000010006,9202023  0
ле0000009361                            3337875863377000010012,2702023  0
ле0000009361               227440104    2802274401044000010004,7002023  0
ле0000009361                            5022339186014000010010,1202023  0
ле0000009361                            5213006870460000010013,0802023  0
ле0000009361                            5021265221202000010020,3902023  0
