ле0000008755                            5202888271670000010014,8502022  0
ле0000008755                            8032472009399000010009,8002022  0
ле0000008755                            5206938002382000010007,4702022  0
ле0000008755                            5206938000920000010011,0802022  0
ле0000008755                            5205152002239000010007,2202022  0
ле0000008755                            7070866022594000010010,1702022  0
ле0000008755                            033984504974 000010029,8402022  0
ле0000008755                            5205152000037000010004,2002022  0
ле0000008755                            5055148409586000010015,1002022  0
ле0000008755                            7070866027674000010010,1702022  0
