ле0000009324                            3577056006883000010007,4602023  0
ле0000009324                            5202888281068000010003,9602023  0
ле0000009324                            5205152001089000010006,0002023  0
ле0000009324                            5205152002079000010003,7002023  0
ле0000009324                            5205152005841000010002,3202023  0
ле0000009324                            5205122001798000010005,4002023  0
ле0000009324                            5201100604937000010005,7602023  0
ле0000009324                            50764761     000010014,0002023  0
ле0000009324               285690106    2802856901061000020017,1702023  0
