ле0000000047               093361003    2800933610035000010003,4902025  0
ле0000000047                            5212001102170000010009,5002025  0
ле0000000047                            5200375300544000010011,8802025  0
ле0000000047               205420304    2802054203042000010005,0202025  0
ле0000000047               160950104    2801609501046000010002,0402025  0
ле0000000047               254060401    2802540604018000010008,0102025  0
ле0000000047               267620101    2802676201013000010006,3502025  0
ле0000000047               241770101    2802417701017000010003,1102025  0
ле0000000047               008500101    2800085001019000010004,4702025  0
ле0000000047               012610201    2800126102019000010002,9702025  0
ле0000000047               069030101    2800690301016000010003,5102025  0
ле0000000047               304100202    2803041002020000010031,2202025  0
ле0000000047               044950310    2800449503104000030001,6802025  0
ле0000000047               044950402    2800449504026000010002,0602025  0
ле0000000047               245630403    2802456304033000020026,3702025  0
ле0000000047               234280102    2802342801028000010004,0902025  0
ле0000000047               128870201    2801288702017000010003,0202025  0
ле0000000047               284170102    2802841701027000010007,9302025  0
ле0000000047               058670201    2800586702019000010003,0802025  0
ле0000000047               016710401    2800167104010000010003,7802025  0
ле0000000047                            894321000227 000010007,2002025  0
ле0000000047               255470101    2802554701017000010004,6502025  0
ле0000000047               204300102    2802043001024000010003,1202025  0
ле0000000047               253610103    2802536101033000010005,5202025  0
ле0000000047               263160102    2802631601025000010006,8402025  0
ле0000000047               280790101    2802807901010000010003,8002025  0
ле0000000047               185270101    2801852701019000010001,4202025  0
ле0000000047               309740201    2803097402010000020039,2902025  0
ле0000000047               251660101    2802516601010000010004,7802025  0
ле0000000047               319220101    2803192201013000010006,3802025  0
ле0000000047               306390205    2803063902056000010026,5502025  0
ле0000000047               235270403    2802352704036000010005,0502025  0
ле0000000047               307070203    2803070702038000010032,9202025  0
ле0000000047               201910501    2802019105015000010005,0802025  0
ле0000000047               015750201    2800157502017000010002,5602025  0
