ле0000008594                            5022339175018000010011,3002022  0
ле0000008594                            5054563079534000010003,1102022  0
ле0000008594                            033984007536 000010022,0702022  0
ле0000008594                            5055148413279000010016,0002022  0
ле0000008594                            5200321011111000010007,4702022  0
ле0000008594                            5205152001805000010006,6202022  0
ле0000008594                            3577056022869000010006,1402022  0
