ле0000008638                            3282770101263000010004,6102022  0
ле0000008638                            3282770149562000010012,9002022  0
ле0000008638                            3577057054296000010003,6102022  0
ле0000008638                            5213000522389000010005,5002022  0
ле0000008638                            5213000521535000010001,3202022  0
ле0000008638                            5213000526400000010010,6002022  0
ле0000008638                            5205152004882000010007,3202022  0
ле0000008638                            717334070219 000010016,9402022  0
ле0000008638                            3282779341875000010011,4002022  0
ле0000008638                            5206469004657000010006,1502022  0
ле0000008638                            5021265221905000010014,9902022  0
