ле0000010158                            4054596535503000010008,9302025  0
ле0000010158                            3522930004257000010028,5002025  0
ле0000010158                            5202888295010000010010,3302025  0
ле0000010158                            5205152015154000010005,0802025  0
ле0000010158                            5205152000396000010004,8202025  0
ле0000010158                            5055148402228000010013,1402025  0
ле0000010158                            5055148400361000010010,7002025  0
ле0000010158                            4210201421221000010058,8202025  0
ле0000010158                            8700216297172000010029,7302025  0
ле0000010158                            3282770075526000010010,3802025  0
