ле0000008652                            5202518001042000010003,0502022  0
ле0000008652                            3282770105346000010017,0602022  0
ле0000008652                            3282770037517000010009,9902022  0
ле0000008652                            5038483233887000010004,2402022  0
ле0000008652                            5202888228339000010012,4902022  0
ле0000008652                            5000207006374000010004,2002022  0
ле0000008652                            5055148408107000010024,5002022  0
ле0000008652                            5055148409944000010022,0002022  0
ле0000008652                            7070866008659000010008,8602022  0
ле0000008652                            5207071000105000010011,0002022  0
