ле0000010016                            5201279049645000010007,5002024  0
ле0000010016                            5201279067731000010011,3002024  0
ле0000010016                            5202888282010000010006,2002024  0
ле0000010016                            5055148412876000010011,1702024  0
ле0000010016                            3337875586269000010008,1802024  0
ле0000010016                            5022339799016000010009,7802024  0
ле0000010016                            033984004375 000010022,3302024  0
ле0000010016                            033984037205 000010012,2202024  0
