ле0000008624                            8032472009399000010009,8002022  0
ле0000008624                            8032472020547000010008,2002022  0
ле0000008624                            8470001713865000010006,0902022  0
ле0000008624                            5202518000205000010002,5502022  0
ле0000008624                            5902658066160000010012,5202022  0
ле0000008624                            5902658066092000010006,1202022  0
ле0000008624                            5202888282027000010005,6802022  0
ле0000008624                            5205152008866000010005,5002022  0
ле0000008624                            3564300000667000010006,6802022  0
ле0000008624                            0033984013162000010033,4202022  0
