ле0000010101                            3282770150261000010009,0602024  0
ле0000010101                            5054563027924000010004,2602024  0
ле0000010101                            5205152008293000010007,6002024  0
ле0000010101                            5055148400507000010022,3902024  0
ле0000010101                            5055148401900000010012,0202024  0
ле0000010101                            733739038784 000010051,7502024  0
ле0000010101                            4210201421221000010058,8202024  0
ле0000010101                            033984010512 000010025,9602024  0
ле0000010101                            4008600384946000010003,5302024  0
ле0000010101                            3337871330262000010007,5002024  0
