ле0000009136                            5200309851753000010008,9002023  0
ле0000009136                            882381005597 000010019,2802023  0
ле0000009136                            2400001086368000010011,2202023  0
ле0000009136                            3282779309172000010005,4202023  0
ле0000009136                            5205152004547000010010,8002023  0
ле0000009136                            5202888102158000010017,5502023  0
ле0000009136                            5205965107121000010009,2002023  0
ле0000009136                            3282770140798000010010,3402023  0
