ле0000008891                            882381102517 000010053,7602023  0
ле0000008891                            5205152002000000010003,7002023  0
ле0000008891                            3282770144659000010007,5402023  0
ле0000008891                            5203069093265000010011,2902023  0
ле0000008891                            5055148401443000010019,0002023  0
ле0000008891                            3337872411793000010009,9402023  0
ле0000008891                            4719003330200000010038,0002023  0
ле0000008891                            717334162488 000010030,6502023  0
ле0000008891                            3282779352277000010006,9902023  0
ле0000008891                            3522930027812000010015,0002023  0
ле0000008891                            3282779119115000010028,8002023  0
ле0000008891                            5205122001408000010004,7502023  0
