ле0000009129                            3282770203462000010017,8402023  0
ле0000009129                            5204799030162000010011,0502023  0
ле0000009129                            2400000142201000010016,1302023  0
ле0000009129                            5055148408107000010024,6502023  0
ле0000009129                            5055148401900000010012,0202023  0
ле0000009129                            3337875517300000010008,1802023  0
ле0000009129                            5060552880845000010011,9202023  0
ле0000009129                            733739014405 000010020,5002023  0
ле0000009129                            3337875774031000010024,0002023  0
ле0000009129                            3337875774161000010024,0002023  0
