ле0000010115                            3282770147926000010003,1602024  0
ле0000010115                            3282770152371000010010,8702024  0
ле0000010115                            12545454     000010005,5202024  0
ле0000010115                            5205152001423000010004,8902024  0
ле0000010115                            5055148402228000010013,1402024  0
ле0000010115                            5055148407575000010039,4502024  0
ле0000010115                            3337875890021000010029,2202024  0
